nombre_editor,ID_editor
Unknown Worlds Entertainment,331
Team 17,332
League of Geeks,333
Rockstar Games,334
David Williamson,335
DigiCube,336
Creative Core,337
Eidos Interactive,338
Avalanche Studios,339
Syscom,340
PUBG Corporation,341
Keen Software House,342
Imagic,343
DrinkBox Studios,344
Koch Media,345
Knowledge Adventure,346
SNK Playmore,347
Forever Entertainment S.A.,348
Phantom 8 Studio,349
Foreign Media Games,350
Vertigo Gaming Inc.,351
RedLynx,352
Sony Interactive Entertainment,353
Fuji,354
Valve Corporation,355
Compile,356
D3 Publisher,357
Daito,358
Revolution (Japan),359
Unknown,360
Alvion,361
Hopoo Games,362
Tomy Corporation,363
Rare,364
Atari,365
Imageworks,366
Detn8 Games,367
Somi,368
Microsoft Game Studios,369
Space Boat Studios,370
Arena Entertainment,371
Falcom,372
Nichibutsu,373
Interchannel,374
Infogrames,375
Frontier Developments,376
Graphsim Entertainment,377
Asylum Entertainment,378
GameMill Entertainment,379
Lince Works,380
MoeNovel,381
ValuSoft,382
Lace Mamba Global,383
Xseed Games,384
EuroVideo Medien,385
Gaijinworks,386
Dispatch Games,387
Pub Games,388
ChunSoft,389
Tri Synergy,390
Frictional Games,391
Whiptail Interactive,392
Axyos Games,393
Benesse,394
49Games,395
NovaLogic,396
Now Production,397
Endnight Games Ltd,398
Broken Rules,399
Destineer,400
Ysbryd Games,401
Marvelous,402
Strategy First,403
GameTek,404
Studio Pixel,405
MLB Advanced Media,406
Electro Brain,407
Game-Labs,408
Unfinished Pixel,409
Excalibur Publishing,410
Rombax Games,411
Kaga Create,412
Anatoliy Loginovskikh,413
D3Publisher,414
Little Orbit,415
Arc System Works,416
Love Conquers All Games,417
Overhype Studios,418
Lupus Studios Limited,419
Best Media,420
Global Star Software,421
TGL,422
Legacy Interactive,423
Enix,424
ASK,425
Black Label Games,426
Imax,427
Gearbox Software,428
Home Entertainment Suppliers,429
Nicalis,430
Prototype,431
Mehsoft,432
Valcon Games,433
Mojang,434
Dramatic Create,435
BetaDwarf,436
Nexon,437
Reef Entertainment,438
Rock Path Collective,439
Insomniac Games,440
Secret Exit Ltd.,441
Ocean,442
Midway Games,443
LEGO Media,444
Blizzard Entertainment,445
Headup Games,446
Idea Factory International,447
Rain Games,448
Phantom EFX,449
Red Flagship,450
Merscom LLC,451
Killmonday Games,452
Avalon Interactive,453
Kinto Games LLC,454
Lighthouse Games Studio,455
Paradox Development,456
Otomate,457
Badland Studio,458
Motion Twin,459
Quinrose,460
Nitroplus,461
DSI Games,462
ASCII Entertainment,463
Dorart,464
Interplay Productions,465
WayForward Technologies,466
Pioneer LDC,467
Gotham Games,468
Pack-In-Video,469
FuRyu Corporation,470
Vap,471
Lionhead Studios,472
Grand Prix Games,473
Microids,474
Marvel Entertainment,475
RailSimulator.com,476
Paramount Digital Entertainment,477
Kalypso Media,478
Telltale Games,479
Mud Duck Productions,480
Carlsen Games,481
Accolade,482
Secret Stash Games,483
System 3,484
Retro Affect,485
Mega Crit Games,486
AIA,487
GungHo Online Entertainment,488
Night Node Software,489
Gamecock,490
Yacht Club Games,491
iWin,492
Touchstone,493
Athena,494
Microsoft,495
Offworld Industries,496
New Blood Interactive,497
Cold Beam Games,498
Pipliz,499
Got Game Entertainment,500
MangaGamer,501
LucasArts,502
Bandai Visual,503
Masque Publishing,504
SystemSoft Alpha,505
Data East,506
Walter Machado,507
Extend Studio,508
JoWood Productions,509
Meridian4,510
Matt Roszak,511
Spiderweb Software,512
Monte Christo Multimedia,513
Entergram,514
Playmates,515
DECK13 Interactive GmbH,516
"Thekla, Inc.",517
Kunos Simulazioni,518
Dymchick1,519
Tengen,520
Acclaim Entertainment,521
Gainax Network Systems,522
Dagestan Technology,523
ArtDink,524
Avanquest Software,525
Monomi Park,526
Game Factory,527
Flight-Plan,528
10TACLE Studios,529
Jackbox Games,530
Wadjet Eye Games,531
Majesco Entertainment,532
Zenrin,533
Ultra Games,534
Sammy Corporation,535
Asteroid Base,536
LVGameDev LLC,537
Team Cherry,538
Hinterland Studio Inc.,539
Smudged Cat Games,540
Societa,541
KID,542
Microprose,543
Galactic Cafe,544
Mamba Games,545
